0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
42876,42582,42019,41676,41349,41587,41675,41557,41557,41198,41167,39817,40227,40231,40416,41061,42685,44002,45382,47808,48888,45958,44774,43511,43784,44548,45413,47797,48784,49433,51257,48873,47649,47631,45993,46397,45114,44648,44265,43123,44859,42470,42486,42406,42613,38930,36801,35018,31173,30904,31237,28526,28594,28022,27547,27004,25512,24737,24606,25033,27428,26087,26648,26804,26058,27119,25655,25632,24418,24372,24494,21448,19528,18767,18627,18226,17466,16611,15054,13876,13095,11564,10157,9187,8114,7151,6197,5058,4225,3653,3028,2541,1783,1387,1101,864,584,417,272,208,375
43060,42923,42684,42175,41843,41567,41811,41849,41726,41844,41395,41334,40091,40311,40298,40492,41209,42892,43968,45540,47973,49096,45938,44966,43929,44124,44970,45849,48338,49418,49849,51357,49160,47874,47968,46400,46525,45371,44993,44544,43136,44606,42582,42291,42475,42803,38469,36615,34926,31247,30819,30971,28484,28370,27931,27393,26761,25457,24677,24632,24947,27173,25911,26353,26496,25766,26648,25275,25316,24120,23959,23889,21038,18875,18206,18001,17544,16728,15948,14350,13180,12362,10917,9366,8399,7345,6424,5480,4478,3681,3143,2585,2121,1435,1096,879,673,451,248,239,314
43228,42796,42841,42664,42093,41774,41532,41753,41823,41719,41878,41439,41354,40158,40232,40253,40478,41299,42708,43882,45571,48105,49051,45844,45113,44146,44141,45038,45954,48457,49467,49787,51113,49163,47795,47990,46430,46318,45331,45070,44577,43007,44169,42532,42012,42412,42783,37924,36346,34793,31253,30683,30613,28419,28144,27760,27207,26532,25351,24607,24602,24849,26891,25672,26033,26115,25431,26185,24815,24956,23808,23535,23208,20597,18164,17662,17327,16788,15955,15246,13636,12540,11598,10224,8604,7669,6641,5735,4819,3955,3183,2679,2188,1740,1152,876,697,518,332,217,287
42716,43089,42644,42928,42737,42125,41829,41592,41741,41859,41809,42006,41558,41393,40283,40274,40332,40580,41251,42879,44111,45891,48277,49281,46161,45479,44546,44446,45332,46293,48638,49723,49795,51008,49370,47935,48180,46527,46296,45349,45236,44729,42893,43873,42508,41802,42328,42800,37434,36073,34748,31287,30565,30295,28393,27918,27650,27040,26279,25264,24562,24586,24726,26584,25502,25714,25782,25134,25697,24331,24599,23457,23105,22550,20150,17435,17060,16646,16054,15123,14521,12909,11816,10783,9533,7820,6895,5928,5083,4198,3401,2685,2232,1829,1409,903,696,542,384,255,336
42672,42688,43070,42673,43098,42955,42229,41911,41735,41845,41963,42051,42199,41680,41502,40506,40484,40548,40565,41456,43208,44514,46367,48782,49907,46555,45936,45046,44910,45875,46722,48971,50106,50012,51053,49677,48114,48357,46715,46359,45531,45479,44900,42873,43651,42617,41579,42307,42813,36967,35911,34678,31319,30462,30078,28338,27715,27561,26924,26074,25174,24519,24571,24622,26342,25294,25387,25408,24807,25167,23810,24205,23083,22614,21855,19673,16704,16460,15911,15254,14257,13720,12141,11094,9969,8797,7028,6126,5193,4408,3590,2895,2236,1810,1491,1113,673,516,406,282,372
41976,42686,42711,43056,42674,43337,43255,42433,42035,41958,42116,42244,42336,42526,41898,41714,40917,40780,40724,41060,42005,43813,44950,47051,49597,50629,47055,46470,45705,45454,46368,47120,49478,50722,50441,51254,50146,48335,48732,47184,46488,45782,45875,45225,42897,43500,42657,41395,42308,42920,36547,35752,34615,31466,30446,29809,28418,27580,27513,26842,25935,25115,24528,24636,24599,26063,25129,25099,25075,24484,24662,23356,23814,22721,22143,21123,19149,15934,15777,15179,14406,13371,12919,11359,10336,9110,8050,6209,5353,4535,3830,3007,2449,1851,1480,1206,867,502,377,320,430
42622,42111,42897,42903,43271,42974,43629,43450,42673,42299,42274,42417,42508,42357,42540,41786,41633,40732,40460,40795,41313,42281,43875,45430,47592,50125,51118,47484,47038,46129,45844,46711,47586,49890,50950,50761,51473,50282,48806,49034,47270,46658,46007,45775,45196,43094,43691,42817,41595,42353,43019,36707,35775,34562,31455,30446,29933,28466,27780,27561,26889,26097,25015,24334,24451,24430,25878,24905,24877,24810,24201,24307,23139,23191,22136,21636,20645,18517,15466,15252,14614,13754,12761,12123,10575,9526,8255,7194,5569,4741,3928,3269,2490,1966,1478,1174,918,647,369,280,512
41683,42633,42312,43105,43085,43469,43262,43863,43686,42909,42474,42462,42639,42697,42305,42456,41628,41494,40523,40448,40789,41433,42312,43932,45721,47803,50280,51431,47750,47458,46415,46079,46851,47941,50125,51196,51186,51657,50428,49209,49128,47211,46756,46208,45628,45090,43306,43860,42917,41791,42334,43013,36851,35697,34448,31365,30411,29910,28436,27800,27511,26830,26151,24865,24091,24185,24206,25621,24567,24642,24542,23829,23909,22878,22508,21505,21052,20113,17806,15044,14653,13977,13015,12084,11211,9664,8647,7435,6334,4940,4115,3331,2732,2047,1580,1167,905,677,452,249,521
42004,41778,42708,42553,43450,43261,43677,43615,44115,43898,43128,42781,42678,42852,42904,42350,42538,41727,41431,40670,40672,41021,41614,42707,44461,46308,48529,50980,52040,48334,48066,46948,46400,47147,48374,50342,51471,51392,51749,50407,49524,49282,47156,46772,46250,45428,44922,43452,43859,42914,41831,42270,42984,36871,35617,34327,31218,30279,29878,28411,27847,27433,26810,26233,24683,23897,23925,23985,25405,24198,24402,24173,23433,23472,22563,21809,20851,20398,19531,17017,14511,14003,13335,12235,11375,10279,8793,7810,6675,5590,4350,3556,2820,2282,1674,1245,915,707,477,320,523
42133,42155,41887,42788,42763,43751,43516,43884,43918,44408,44036,43402,43040,42921,43014,43165,42467,42823,42069,41801,41044,41049,41462,42238,43482,45074,46971,49081,51495,52840,48807,48598,47174,46616,47420,48745,50555,51616,51632,51773,50491,49741,49323,46938,46767,46258,45101,44732,43477,43896,42956,41860,42145,42839,36890,35469,34124,31038,30082,29764,28309,27850,27321,26681,26223,24429,23651,23629,23721,25114,23818,24108,23802,22976,23012,22153,21034,20182,19724,18972,16272,13987,13359,12687,11454,10672,9346,7949,6973,5903,4830,3783,3025,2362,1840,1359,974,718,550,346,564
